request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay 43900.0 today. This keeps the 99700 minimum available over the next 90 days.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay 2191000.0 today. This keeps the 7811000 minimum available over the next 90 days.
request_52,18573.87,affordable_later,wait,2024-06-16:28870,2024-06-16,none,"Wait until 2024-06-16, then pay 28870.0 in full. Paying sooner would put the 41500 minimum at risk."
request_53,603.23,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-16,none,Use installments to pay the amount over time. This leaves at least 2100 available.
request_54,2356.54,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 37000 minimum protected.
request_55,140293.48,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-16,none,Use installments to pay the amount over time. This leaves at least 124300 available.
request_56,564.45,affordable_with_plan,partial_payment,2025-02-03:564.45|2025-02-16:317.11,2025-02-16,none,Pay 564.45 today and the remaining 317.1099999999999 on 2025-02-16. This completes the full request and keeps the 2100 minimum protected.
request_57,7874.36,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 42700 minimum protected.
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay 16226000.0 today. This keeps the 14433900 minimum available over the next 90 days.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use installments to pay the amount over time. This leaves at least 132600 available.
request_60,199.57,affordable_later,wait,2026-01-16:199.89,2026-01-16,none,"Wait until 2026-01-16, then pay 199.89 in full. Paying sooner would put the 400 minimum at risk."
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use installments to pay the amount over time. This leaves at least 36700 available.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay 404.23 today. This keeps the 1300 minimum available over the next 90 days.
request_63,63476.31,affordable_with_plan,partial_payment,2026-07-07:63476.31|2026-09-16:280423.69,2026-09-16,none,Pay 63476.31 today and the remaining 280423.69 on 2026-09-16. This completes the full request and keeps the 153500 minimum protected.
request_64,45593.68,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-07-16,none,Use installments to pay the amount over time. This leaves at least 36100 available.
request_65,6572.73,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 15500 minimum protected.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay 22200.0 today. This keeps the 80700 minimum available over the next 90 days.
request_67,340.72,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 1200 minimum protected.
request_68,1429.51,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 1500 minimum protected.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay 529.1 today. This keeps the 700 minimum available over the next 90 days.
request_70,59952.21,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 115000 minimum protected.
request_71,702923.73,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 8884800 minimum protected.
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay 11330.0 today. This keeps the 12200 minimum available over the next 90 days.
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay 71400.0 today. This keeps the 103200 minimum available over the next 90 days.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay 5010.0 today. This keeps the 21900 minimum available over the next 90 days.
request_75,24618.83,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 39000 minimum protected.
request_76,920.96,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 1800 minimum protected.
request_77,60304.08,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-16,stop:event_7143,"After applying spending changes, pay 60700.0 today. This leaves at least 82200 available."
request_78,49416.22,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-16,reduce_to:event_7225:3052.51,"After applying spending changes, pay 50200.0 today. This leaves at least 55200 available."
request_79,470.03,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 1000 minimum protected.
request_80,122799.35,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 121300 minimum protected.
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay 2076.0 today. This keeps the 1600 minimum available over the next 90 days.
request_82,496.36,affordable_later,wait,2025-01-16:1405.20,2025-01-16,none,"Wait until 2025-01-16, then pay 1405.2 in full. Paying sooner would put the 1100 minimum at risk."
request_83,8505.66,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 37800 minimum protected.
request_84,35996.8,affordable_later,wait,2026-05-16:95400,2026-05-16,none,"Wait until 2026-05-16, then pay 95400.0 in full. Paying sooner would put the 91300 minimum at risk."
request_85,814238.47,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 6396300 minimum protected.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay 46300.0 today. This keeps the 84900 minimum available over the next 90 days.
request_87,27203.97,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 185900 minimum protected.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-16,none,Use installments to pay the amount over time. This leaves at least 25800 available.
request_89,9683691.03,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-16,none,Use installments to pay the amount over time. This leaves at least 12534700 available.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay 2560.0 today. This keeps the 7600 minimum available over the next 90 days.
request_91,818.29,affordable_later,wait,2024-10-16:1927.20,2024-10-16,none,"Wait until 2024-10-16, then pay 1927.2 in full. Paying sooner would put the 2100 minimum at risk."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay 34034.0 today. This keeps the 28100 minimum available over the next 90 days.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay 1729.2 today. This keeps the 1900 minimum available over the next 90 days.
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay 572.0 today. This keeps the 600 minimum available over the next 90 days.
request_95,28553.46,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 145500 minimum protected.
request_96,74985.99,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-16,none,Use installments to pay the amount over time. This leaves at least 56500 available.
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-16,none,Use installments to pay the amount over time. This leaves at least 29700 available.
request_98,8643.65,affordable_later,wait,2025-09-16:27148,2025-09-16,none,"Wait until 2025-09-16, then pay 27148.0 in full. Paying sooner would put the 30000 minimum at risk."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay 18062.0 today. This keeps the 49100 minimum available over the next 90 days.
request_100,28953.75,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-16,none,Use installments to pay the amount over time. This leaves at least 32500 available.
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay 143500.0 today. This keeps the 187400 minimum available over the next 90 days.
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Use installments to pay the amount over time. This leaves at least 900 available.
request_103,16439.06,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 125500 minimum protected.
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay 17204.0 today. This keeps the 24700 minimum available over the next 90 days.
request_105,45582.16,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 73900 minimum protected.
request_106,371.16,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 1200 minimum protected.
request_107,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 1600 minimum protected.
request_108,3443.44,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 24100 minimum protected.
request_109,729.78,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-16,none,Use installments to pay the amount over time. This leaves at least 1700 available.
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Use installments to pay the amount over time. This leaves at least 11200 available.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay 16625000.0 today. This keeps the 23022800 minimum available over the next 90 days.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay 271.7 today. This keeps the 500 minimum available over the next 90 days.
request_113,24382.88,affordable_later,wait,2026-09-16:36500,2026-09-16,none,"Wait until 2026-09-16, then pay 36500.0 in full. Paying sooner would put the 82300 minimum at risk."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay 65300.0 today. This keeps the 113400 minimum available over the next 90 days.
request_115,16371.71,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 38800 minimum protected.
request_116,9154.58,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 80300 minimum protected.
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay 880.0 today. This keeps the 1000 minimum available over the next 90 days.
request_118,621.22,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-01-16,none,Use installments to pay the amount over time. This leaves at least 600 available.
request_119,61380.69,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 151200 minimum protected.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay 7714000.0 today. This keeps the 20050300 minimum available over the next 90 days.
request_121,620.14,affordable_with_plan,full_payment,2024-03-03:633.60,2024-03-16,reduce_to:event_11231:34.53,"After applying spending changes, pay 633.6 today. This leaves at least 800 available."
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Use installments to pay the amount over time. This leaves at least 12588500 available.
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay 4076000.0 today. This keeps the 18091200 minimum available over the next 90 days.
request_124,1558.4,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 1600 minimum protected.
request_125,6289.37,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 11300 minimum protected.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay 159600.0 today. This keeps the 129700 minimum available over the next 90 days.
request_127,11760.13,affordable_later,wait,2024-09-16:23980,2024-09-16,none,"Wait until 2024-09-16, then pay 23980.0 in full. Paying sooner would put the 41000 minimum at risk."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay 25168.0 today. This keeps the 42600 minimum available over the next 90 days.
request_129,101.48,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 800 minimum protected.
request_130,249.71,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 1400 minimum protected.
request_131,1326.13,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-16,none,Use installments to pay the amount over time. This leaves at least 1100 available.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Pay 379.86 today. This keeps the 1100 minimum available over the next 90 days.
request_133,15770000.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 9986200 minimum protected.
request_134,7343943.67,affordable_later,wait,2025-09-16:21831000,2025-09-16,none,"Wait until 2025-09-16, then pay 21831000.0 in full. Paying sooner would put the 15902500 minimum at risk."
request_135,300.58,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-16,reduce_to:event_12449:34.89,"After applying spending changes, pay 304.8 today. This leaves at least 500 available."
request_136,515.51,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 1100 minimum protected.
request_137,36357.58,affordable_later,wait,2025-12-16:80100,2025-12-16,none,"Wait until 2025-12-16, then pay 80100.0 in full. Paying sooner would put the 71800 minimum at risk."
request_138,765.86,affordable_with_plan,partial_payment,2026-04-07:765.86|2026-04-16:491.08,2026-04-16,none,Pay 765.86 today and the remaining 491.08000000000004 on 2026-04-16. This completes the full request and keeps the 2300 minimum protected.
request_139,1254.13,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 1500 minimum protected.
request_140,3788.62,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 21600 minimum protected.
request_141,29940.2,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 67300 minimum protected.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay 1263.6 today. This keeps the 1700 minimum available over the next 90 days.
request_143,1876.85,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 11300 minimum protected.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay 233.34 today. This keeps the 600 minimum available over the next 90 days.
request_145,42179.78,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-16,none,Use installments to pay the amount over time. This leaves at least 155400 available.
request_146,5572.13,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 108600 minimum protected.
request_147,459.75,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-16,none,Use installments to pay the amount over time. This leaves at least 900 available.
request_148,9085.4,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-16,none,Use installments to pay the amount over time. This leaves at least 20000 available.
request_149,19613.02,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-16,none,Use installments to pay the amount over time. This leaves at least 42100 available.
request_150,287.6,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-16,none,Use installments to pay the amount over time. This leaves at least 700 available.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay 26999000.0 today. This keeps the 31633600 minimum available over the next 90 days.
request_152,11377.56,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-03-16,none,Use installments to pay the amount over time. This leaves at least 11900 available.
request_153,277.65,affordable_later,wait,2026-09-16:2830.80,2026-09-16,none,"Wait until 2026-09-16, then pay 2830.8 in full. Paying sooner would put the 1400 minimum at risk."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Use installments to pay the amount over time. This leaves at least 1300 available.
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay 112500.0 today. This keeps the 56300 minimum available over the next 90 days.
request_156,8051.1,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 26900 minimum protected.
request_157,6968905.82,affordable_later,wait,2024-04-16:23503000,2024-04-16,none,"Wait until 2024-04-16, then pay 23503000.0 in full. Paying sooner would put the 15714100 minimum at risk."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Use installments to pay the amount over time. This leaves at least 131400 available.
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay 13398.0 today. This keeps the 8700 minimum available over the next 90 days.
request_160,573.99,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 1200 minimum protected.
request_161,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 23010400 minimum protected.
request_162,2314734.44,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 24161100 minimum protected.
request_163,10179160.82,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 26728700 minimum protected.
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Use installments to pay the amount over time. This leaves at least 29550500 available.
request_165,68414.05,affordable_with_plan,full_payment,2026-04-06:80600,,reduce_to:event_15173:1875|reduce_to:event_15136:1048|stop:event_15134,"After applying spending changes, pay 80600.0 today. This leaves at least 95000 available."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Use installments to pay the amount over time. This leaves at least 1700 available.
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay 43802.0 today. This keeps the 31200 minimum available over the next 90 days.
request_168,42234.73,affordable_with_plan,partial_payment,2026-01-07:42234.73|2026-01-16:7145.27,2026-01-16,none,Pay 42234.73 today and the remaining 7145.269999999997 on 2026-01-16. This completes the full request and keeps the 114400 minimum protected.
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay 41976.0 today. This keeps the 18700 minimum available over the next 90 days.
request_170,34633492.64,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-16,none,Use installments to pay the amount over time. This leaves at least 24715800 available.
request_171,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 500 minimum protected.
request_172,9478.32,affordable_with_plan,partial_payment,2024-06-05:9478.32|2024-06-16:721.68,2024-06-16,none,Pay 9478.32 today and the remaining 721.6800000000003 on 2024-06-16. This completes the full request and keeps the 27200 minimum protected.
request_173,59246.65,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-12-16,none,Use installments to pay the amount over time. This leaves at least 79100 available.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Use installments to pay the amount over time. This leaves at least 700 available.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay 2346.3 today. This keeps the 1700 minimum available over the next 90 days.
request_176,418.88,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Pay 1017.6 today. This keeps the 1300 minimum available over the next 90 days.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Use installments to pay the amount over time. This leaves at least 1400 available.
request_179,10281953.03,affordable_later,wait,2025-06-16:41648000,2025-06-16,none,"Wait until 2025-06-16, then pay 41648000.0 in full. Paying sooner would put the 41430800 minimum at risk."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay 66500.0 today. This keeps the 37300 minimum available over the next 90 days.
request_181,319.55,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 2000 minimum protected.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay 65714.0 today. This keeps the 31100 minimum available over the next 90 days.
request_183,23719732.79,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 11878300 minimum protected.
request_184,10570.97,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 110800 minimum protected.
request_185,413.7,affordable_later,wait,2025-12-16:1257.30,2025-12-16,none,"Wait until 2025-12-16, then pay 1257.3 in full. Paying sooner would put the 1300 minimum at risk."
request_186,2547.89,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 22000 minimum protected.
request_187,38510.57,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 128300 minimum protected.
request_188,90.64,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay 488.4 today. This keeps the 400 minimum available over the next 90 days.
request_190,732.74,affordable_later,wait,2025-01-16:2557.50,2025-01-16,none,"Wait until 2025-01-16, then pay 2557.5 in full. Paying sooner would put the 1600 minimum at risk."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay 664.4 today. This keeps the 500 minimum available over the next 90 days.
request_192,220.45,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 1000 minimum protected.
request_193,27.1,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-16,none,Use installments to pay the amount over time. This leaves at least 1000 available.
request_194,47522.19,affordable_later,wait,2025-09-16:132800,2025-09-16,none,"Wait until 2025-09-16, then pay 132800.0 in full. Paying sooner would put the 113600 minimum at risk."
request_195,975.67,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-16,none,Use installments to pay the amount over time. This leaves at least 700 available.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay 762.3 today. This keeps the 500 minimum available over the next 90 days.
request_197,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 26245900 minimum protected.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay 185800.0 today. This keeps the 124300 minimum available over the next 90 days.
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Use installments to pay the amount over time. This leaves at least 25359500 available.
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay 21717000.0 today. This keeps the 20114600 minimum available over the next 90 days.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay 23997000.0 today. This keeps the 17304500 minimum available over the next 90 days.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay 123900.0 today. This keeps the 147800 minimum available over the next 90 days.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Use installments to pay the amount over time. This leaves at least 1400 available.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay 588.74 today. This keeps the 1300 minimum available over the next 90 days.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay 10621000.0 today. This keeps the 13994300 minimum available over the next 90 days.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use installments to pay the amount over time. This leaves at least 900 available.
request_207,6276.23,affordable_later,wait,2026-07-16:11830,2026-07-16,none,"Wait until 2026-07-16, then pay 11830.0 in full. Paying sooner would put the 13600 minimum at risk."
request_208,3618685.66,affordable_later,wait,2024-06-16:4413000,2024-06-16,none,"Wait until 2024-06-16, then pay 4413000.0 in full. Paying sooner would put the 10470700 minimum at risk."
request_209,1829.14,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 18400 minimum protected.
request_210,860.25,affordable_with_plan,partial_payment,2026-04-06:860.25|2026-04-16:499.77,2026-04-16,none,Pay 860.25 today and the remaining 499.77 on 2026-04-16. This completes the full request and keeps the 2000 minimum protected.
request_211,158.25,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 1500 minimum protected.
request_212,6386952.39,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 29579800 minimum protected.
